acosh_47:{'codebleu': 0.7089568090664455, 'ngram_match_score': 0.5893190038787325, 'weighted_ngram_match_score': 0.6319115614523504, 'syntax_match_score': 0.8873239436619719, 'dataflow_match_score': 0.7272727272727273}
greater_82:{'codebleu': 0.6025029545131106, 'ngram_match_score': 0.6917556727452384, 'weighted_ngram_match_score': 0.7195947622821425, 'syntax_match_score': 0.6871035940803383, 'dataflow_match_score': 0.31155778894472363}
greater_37:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_43:{'codebleu': 0.8333562562013278, 'ngram_match_score': 0.7787143994326458, 'weighted_ngram_match_score': 0.7858951983754201, 'syntax_match_score': 0.9421487603305785, 'dataflow_match_score': 0.8266666666666667}
acosh_2:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_3:{'codebleu': 0.6622506775788991, 'ngram_match_score': 0.5172533829885392, 'weighted_ngram_match_score': 0.57828678377305, 'syntax_match_score': 0.8705357142857143, 'dataflow_match_score': 0.6829268292682927}
acosh_35:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_30:{'codebleu': 0.7777856192088627, 'ngram_match_score': 0.701119713362792, 'weighted_ngram_match_score': 0.7263043916354753, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
greater_80:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_33:{'codebleu': 0.7777758320195562, 'ngram_match_score': 0.6968242611818211, 'weighted_ngram_match_score': 0.714377881125653, 'syntax_match_score': 0.924901185770751, 'dataflow_match_score': 0.775}
acosh_0:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
greater_71:{'codebleu': 0.7777758320195562, 'ngram_match_score': 0.6968242611818211, 'weighted_ngram_match_score': 0.714377881125653, 'syntax_match_score': 0.924901185770751, 'dataflow_match_score': 0.775}
greater_42:{'codebleu': 0.8315915711773838, 'ngram_match_score': 0.5767071961253231, 'weighted_ngram_match_score': 0.8985217621161161, 'syntax_match_score': 0.925764192139738, 'dataflow_match_score': 0.9253731343283582}
cos_66:{'codebleu': 0.8425787682729335, 'ngram_match_score': 0.7988022595259817, 'weighted_ngram_match_score': 0.8089903473627362, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
cos_8:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_56:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
acosh_36:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
acosh_49:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_6:{'codebleu': 0.8333562562013278, 'ngram_match_score': 0.7787143994326458, 'weighted_ngram_match_score': 0.7858951983754201, 'syntax_match_score': 0.9421487603305785, 'dataflow_match_score': 0.8266666666666667}
greater_7:{'codebleu': 0.5554644820686656, 'ngram_match_score': 0.5964394260180718, 'weighted_ngram_match_score': 0.6376126361084784, 'syntax_match_score': 0.6838842975206612, 'dataflow_match_score': 0.30392156862745096}
acosh_24:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
greater_59:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_46:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_19:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
average_codebleu:0.8553945407682012
diff:['acosh_47', 'acosh_73', 'cos_41', 'greater_72', 'cos_11', 'cos_40', 'acosh_81', 'greater_68', 'cos_17', 'greater_32', 'greater_64', 'greater_77', 'greater_1', 'acosh_13', 'cos_45', 'acosh_31', 'greater_26', 'greater_62', 'greater_10', 'greater_18', 'greater_29', 'greater_22', 'acosh_48', 'greater_44', 'greater_60', 'cos_76', 'cos_12', 'acosh_38', 'greater_63', 'greater_58', 'greater_27', 'acosh_20', 'greater_61', 'greater_74', 'acosh_34', 'greater_15', 'cos_51', 'greater_4', 'greater_16', 'acosh_54', 'greater_28', 'greater_78', 'acosh_57', 'acosh_9', 'acosh_79', 'acosh_14', 'cos_52', 'cos_25', 'cos_53', 'cos_5', 'greater_67', 'acosh_21', 'greater_39', 'greater_69', 'acosh_23', 'greater_82', 'greater_37', 'greater_43', 'acosh_3', 'acosh_30', 'greater_80', 'greater_33', 'acosh_0', 'greater_71', 'greater_42', 'cos_66', 'acosh_56', 'acosh_36', 'greater_6', 'greater_7', 'acosh_24', 'greater_59', 'acosh_19']
####extra info####
本次实验在CodeLlama-13b-hf-600-v3.0_topi_without_ir_by_name_simplify-v3.0_topi_without_ir_by_name_simplify_3_4
的基础上仅调整了模型训练时支持的最大输入(2048)和输出(4096)长度，结果发现模型由于输入不再被截断，所生成的代码
都基本符合代码语法规范，很少会出现不能正常停止或循环生成的问题。同时在千条数据集的规模上，训练并不会花费很多时间，所以后面
再进行训练可以考虑扩大模型支持的最大序列长度，重点放在如何让生成代码功能正确并引入HPC部分。
